periods,seeds,zero_jitter,best_latency,"(latency, count)",sum_period,diff,sum_execution_time,max_diff_sync_LF,max_sync_original_LF,max_sync_zero_jitter_LF,max_offset_LF_read,max_offset_LF_write,min_diff_sync_LF,min_sync_original_LF,min_sync_zero_jitter_LF,min_offset_LF_read,min_offset_LF_write,max_diff_sync_FF,max_sync_original_FF,max_sync_zero_jitter_FF,max_offset_FF_read,max_offset_FF_write,min_diff_sync_FF,min_sync_original_FF,min_sync_zero_jitter_FF,min_offset_FF_read,min_offset_FF_write,max_diff_sync_LL,max_sync_original_LL,max_sync_zero_jitter_LL,max_offset_LL_read,max_offset_LL_write,min_diff_sync_LL,min_sync_original_LL,min_sync_zero_jitter_LL,min_offset_LL_read,min_offset_LL_write,max_diff_sync_FL,max_sync_original_FL,max_sync_zero_jitter_FL,max_offset_FL_read,max_offset_FL_write,min_diff_sync_FL,min_sync_original_FL,min_sync_zero_jitter_FL,min_offset_FL_read,min_offset_FL_write
"[3, 3, 3, 3]",1770201415,10,10,"[(10, 6)]",12,"[-2, -2]",4,0,"[6, 9, 9, 12]","[6, 9, 9, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[6, 9, 9, 12]","[6, 9, 9, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[6, 9, 9, 12]","[6, 9, 9, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[6, 9, 9, 12]","[6, 9, 9, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[6, 9, 9, 12]","[6, 9, 9, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[6, 9, 9, 12]","[6, 9, 9, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[6, 9, 9, 12]","[6, 9, 9, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[6, 9, 9, 12]","[6, 9, 9, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]"
"[3, 3, 3, 4]",1770201415,10,10,"[(10, 6)]",13,"[-3, -3]",4,0,"[6, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 0, 0]","[1, 1, 1, 1]",-1,"[7, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 0, 3]","[1, 1, 1, 4]",1,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[6, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 0, 0]","[1, 1, 1, 1]",1,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[6, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 0, 0]","[1, 1, 1, 1]",2,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[6, 10, 10, 14]","[6, 10, 10, 14]","[0, 0, 0, 1]","[1, 1, 1, 2]"
"[3, 3, 4, 3]",1770201415,10,10,"[(10, 6)]",13,"[-3, -3]",4,2,"[4, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 1, 1]","[1, 1, 2, 2]",-1,"[7, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 0, 1]","[1, 1, 1, 2]",3,"[4, 7, 7, 10]","[6, 10, 10, 14]","[0, 0, 3, 1]","[1, 1, 4, 2]",0,"[7, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 0, 1]","[1, 1, 1, 2]",3,"[4, 7, 7, 10]","[6, 10, 10, 14]","[0, 0, 3, 1]","[1, 1, 4, 2]",0,"[7, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 0, 1]","[1, 1, 1, 2]",4,"[4, 7, 7, 10]","[6, 10, 10, 14]","[0, 0, 3, 1]","[1, 1, 4, 2]",0,"[5, 8, 8, 14]","[6, 10, 10, 14]","[0, 0, 2, 2]","[1, 1, 3, 3]"
"[3, 3, 4, 4]",1770201415,11,11,"[(11, 6)]",14,"[-3, -3]",4,0,"[6, 10, 10, 13]","[6, 10, 10, 14]","[0, 0, 1, 0]","[1, 1, 2, 1]",-1,"[8, 11, 11, 14]","[7, 11, 11, 15]","[0, 0, 0, 0]","[1, 1, 1, 1]",1,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[8, 11, 11, 14]","[7, 11, 11, 15]","[0, 0, 0, 0]","[1, 1, 1, 1]",1,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[8, 11, 11, 14]","[7, 11, 11, 15]","[0, 0, 0, 0]","[1, 1, 1, 1]",2,"[4, 7, 7, 10]","[4, 8, 8, 12]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 2, 0]","[1, 1, 3, 1]"
"[3, 4, 3, 3]",1770201415,10,10,"[(10, 6)]",13,"[-3, -3]",4,2,"[3, 6, 6, 9]","[5, 9, 9, 13]","[0, 0, 1, 0]","[1, 1, 2, 1]",-1,"[6, 9, 9, 12]","[5, 9, 9, 13]","[0, 1, 1, 0]","[1, 2, 2, 1]",3,"[3, 6, 6, 9]","[5, 9, 9, 13]","[0, 0, 1, 0]","[1, 1, 2, 1]",0,"[6, 9, 9, 12]","[5, 9, 9, 13]","[0, 1, 1, 0]","[1, 2, 2, 1]",3,"[3, 6, 6, 9]","[5, 9, 9, 13]","[0, 0, 1, 0]","[1, 1, 2, 1]",0,"[6, 9, 9, 12]","[5, 9, 9, 13]","[0, 1, 1, 0]","[1, 2, 2, 1]",4,"[3, 6, 6, 9]","[5, 9, 9, 13]","[0, 0, 1, 0]","[1, 1, 2, 1]",0,"[3, 6, 6, 12]","[4, 8, 8, 12]","[0, 3, 2, 0]","[1, 4, 3, 1]"
"[3, 4, 3, 4]",1770201415,8,8,"[(8, 6)]",14,"[-6, -6]",4,5,"[2, 10, 10, 13]","[7, 11, 11, 15]","[0, 2, 0, 1]","[1, 3, 1, 2]",-1,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 0, 1]","[1, 2, 1, 2]",6,"[2, 5, 5, 8]","[7, 11, 11, 15]","[0, 3, 0, 2]","[1, 4, 1, 3]",0,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 0, 1]","[1, 2, 1, 2]",6,"[2, 5, 5, 8]","[7, 11, 11, 15]","[0, 3, 0, 2]","[1, 4, 1, 3]",0,"[5, 8, 8, 11]","[4, 8, 8, 12]","[0, 1, 0, 1]","[1, 2, 1, 2]",7,"[2, 5, 5, 8]","[7, 11, 11, 15]","[0, 3, 0, 2]","[1, 4, 1, 3]",-2,"[7, 10, 10, 16]","[6, 10, 10, 14]","[0, 1, 1, 3]","[1, 2, 2, 4]"
"[3, 4, 4, 3]",1770201415,11,11,"[(11, 6)]",14,"[-3, -3]",4,2,"[5, 8, 8, 11]","[7, 11, 11, 15]","[0, 0, 0, 2]","[1, 1, 1, 3]",-1,"[7, 10, 10, 13]","[6, 10, 10, 14]","[0, 1, 0, 1]","[1, 2, 1, 2]",3,"[5, 8, 8, 11]","[7, 11, 11, 15]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[7, 10, 10, 13]","[6, 10, 10, 14]","[0, 1, 0, 1]","[1, 2, 1, 2]",3,"[5, 8, 8, 11]","[7, 11, 11, 15]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[7, 10, 10, 13]","[6, 10, 10, 14]","[0, 1, 0, 1]","[1, 2, 1, 2]",4,"[5, 8, 8, 11]","[7, 11, 11, 15]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[3, 6, 6, 12]","[4, 8, 8, 12]","[0, 3, 0, 0]","[1, 4, 1, 1]"
"[3, 4, 4, 4]",1770201415,12,12,"[(12, 6)]",15,"[-3, -3]",4,0,"[8, 11, 11, 14]","[8, 12, 12, 16]","[0, 0, 0, 0]","[1, 1, 1, 1]",-1,"[8, 11, 11, 14]","[7, 11, 11, 15]","[0, 1, 0, 0]","[1, 2, 1, 1]",1,"[8, 11, 11, 14]","[8, 12, 12, 16]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[8, 11, 11, 14]","[7, 11, 11, 15]","[0, 1, 0, 0]","[1, 2, 1, 1]",1,"[8, 11, 11, 14]","[8, 12, 12, 16]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[8, 11, 11, 14]","[7, 11, 11, 15]","[0, 1, 0, 0]","[1, 2, 1, 1]",2,"[8, 11, 11, 14]","[8, 12, 12, 16]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 3, 0, 0]","[1, 4, 1, 1]"
"[4, 3, 3, 3]",1770201415,10,10,"[(10, 6)]",13,"[-3, -3]",4,0,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 0, 0]","[1, 1, 1, 1]",1,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[5, 9, 9, 12]","[5, 9, 9, 13]","[0, 1, 0, 0]","[1, 2, 1, 1]",1,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[5, 9, 9, 12]","[5, 9, 9, 13]","[0, 1, 0, 0]","[1, 2, 1, 1]",2,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[4, 8, 8, 12]","[4, 8, 8, 12]","[0, 2, 0, 0]","[1, 3, 1, 1]"
"[4, 3, 3, 4]",1770201415,9,9,"[(9, 6)]",14,"[-5, -5]",4,4,"[3, 7, 7, 11]","[7, 11, 11, 15]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[3, 7, 7, 11]","[7, 11, 11, 15]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[3, 7, 7, 11]","[7, 11, 11, 15]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[3, 7, 7, 11]","[7, 11, 11, 15]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]"
"[4, 3, 4, 3]",1770201415,8,8,"[(8, 6)]",14,"[-6, -6]",4,5,"[2, 5, 5, 9]","[7, 11, 11, 15]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[4, 8, 8, 12]","[4, 8, 8, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",6,"[2, 5, 5, 9]","[7, 11, 11, 15]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[4, 8, 8, 12]","[4, 8, 8, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",6,"[2, 5, 5, 9]","[7, 11, 11, 15]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[4, 8, 8, 12]","[4, 8, 8, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]",6,"[2, 5, 5, 9]","[7, 11, 11, 15]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[4, 8, 8, 12]","[4, 8, 8, 12]","[0, 0, 0, 0]","[1, 1, 1, 1]"
"[4, 3, 4, 4]",1770201415,9,9,"[(9, 6)]",15,"[-6, -6]",4,4,"[1, 5, 5, 9]","[5, 9, 9, 13]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[1, 5, 5, 9]","[5, 9, 9, 13]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[1, 5, 5, 9]","[5, 9, 9, 13]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[1, 5, 5, 9]","[5, 9, 9, 13]","[0, 0, 3, 0]","[1, 1, 4, 1]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]"
"[4, 4, 3, 3]",1770201415,11,11,"[(11, 6)]",14,"[-3, -3]",4,0,"[7, 11, 11, 15]","[7, 11, 11, 15]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[7, 11, 11, 15]","[7, 11, 11, 15]","[0, 0, 0, 0]","[1, 1, 1, 1]",1,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 1, 0]","[1, 1, 2, 1]",0,"[7, 11, 11, 15]","[7, 11, 11, 15]","[0, 0, 0, 0]","[1, 1, 1, 1]",1,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 1, 0]","[1, 1, 2, 1]",0,"[7, 11, 11, 15]","[7, 11, 11, 15]","[0, 0, 0, 0]","[1, 1, 1, 1]",2,"[6, 9, 9, 12]","[6, 10, 10, 14]","[0, 0, 1, 0]","[1, 1, 2, 1]",0,"[7, 11, 11, 15]","[7, 11, 11, 15]","[0, 0, 0, 0]","[1, 1, 1, 1]"
"[4, 4, 3, 4]",1770201415,9,9,"[(9, 6)]",15,"[-6, -6]",4,4,"[4, 8, 8, 12]","[8, 12, 12, 16]","[0, 0, 1, 3]","[1, 1, 2, 4]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[4, 8, 8, 12]","[8, 12, 12, 16]","[0, 0, 1, 3]","[1, 1, 2, 4]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[4, 8, 8, 12]","[8, 12, 12, 16]","[0, 0, 1, 3]","[1, 1, 2, 4]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]",4,"[4, 8, 8, 12]","[8, 12, 12, 16]","[0, 0, 1, 3]","[1, 1, 2, 4]",0,"[5, 9, 9, 13]","[5, 9, 9, 13]","[0, 0, 0, 0]","[1, 1, 1, 1]"
"[4, 4, 4, 3]",1770201415,12,12,"[(12, 6)]",15,"[-3, -3]",4,0,"[8, 12, 12, 15]","[8, 12, 12, 16]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[8, 12, 12, 15]","[8, 12, 12, 16]","[0, 0, 0, 0]","[1, 1, 1, 1]",1,"[8, 11, 11, 14]","[8, 12, 12, 16]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[8, 12, 12, 15]","[8, 12, 12, 16]","[0, 0, 0, 0]","[1, 1, 1, 1]",1,"[8, 11, 11, 14]","[8, 12, 12, 16]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[8, 12, 12, 15]","[8, 12, 12, 16]","[0, 0, 0, 0]","[1, 1, 1, 1]",2,"[8, 11, 11, 14]","[8, 12, 12, 16]","[0, 0, 0, 2]","[1, 1, 1, 3]",0,"[8, 12, 12, 16]","[8, 12, 12, 16]","[0, 0, 0, 1]","[1, 1, 1, 2]"
"[4, 4, 4, 4]",1770201415,13,13,"[(13, 6)]",16,"[-3, -3]",4,0,"[9, 13, 13, 17]","[9, 13, 13, 17]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[9, 13, 13, 17]","[9, 13, 13, 17]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[9, 13, 13, 17]","[9, 13, 13, 17]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[9, 13, 13, 17]","[9, 13, 13, 17]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[9, 13, 13, 17]","[9, 13, 13, 17]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[9, 13, 13, 17]","[9, 13, 13, 17]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[9, 13, 13, 17]","[9, 13, 13, 17]","[0, 0, 0, 0]","[1, 1, 1, 1]",0,"[9, 13, 13, 17]","[9, 13, 13, 17]","[0, 0, 0, 0]","[1, 1, 1, 1]"
